시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Severity
전남,완도군,186,4,299,80,218,2019,22,27,27,28,24,33,25,3,2,3,14,27,22,21,35,18,20,12,9,0.26755852842809363
전남,강진군,244,5,401,94,266,2022,26,31,31,49,32,36,39,5,1,3,15,44,38,34,30,30,29,8,7,0.2344139650872818
인천,남동구,1563,15,2231,316,1812,2022,173,196,248,238,214,261,233,68,41,63,87,173,143,133,175,197,206,171,106,0.14164051994621246
충남,부여군,201,6,285,154,131,2020,19,28,25,34,29,32,34,0,1,1,9,28,27,23,26,39,25,15,7,0.5403508771929825
강원,양구군,79,5,107,17,84,2022,9,15,13,10,12,10,10,2,0,0,2,9,4,12,16,11,13,5,5,0.1588785046728972
경기,포천시,826,16,1336,220,1061,2022,95,133,124,113,118,118,125,12,10,17,32,111,88,92,122,129,115,63,35,0.16467065868263472
강원,태백시,170,1,270,40,220,2020,25,21,27,23,25,27,22,2,1,0,8,16,21,25,26,29,16,10,16,0.14814814814814814
대구,북구,2100,16,2951,545,2141,2021,198,330,296,343,316,341,276,59,31,40,120,183,229,237,251,312,307,190,141,0.1846831582514402
전남,순천시,1152,24,1715,261,1399,2021,125,175,162,188,152,199,151,36,23,23,53,133,125,128,123,157,159,124,68,0.1521865889212828
전남,곡성군,122,2,176,55,112,2018,17,18,21,17,18,15,16,2,1,1,5,19,22,19,18,20,11,2,2,0.3125
충남,부여군,222,16,278,159,113,2019,26,38,38,23,35,33,29,0,2,3,16,33,30,29,28,32,36,8,5,0.5719424460431655
전북,완주군,278,17,422,119,296,2019,29,43,45,35,45,47,34,5,4,7,24,34,31,25,34,31,43,27,13,0.28199052132701424
전북,부안군,140,10,190,68,119,2022,21,18,20,12,28,23,18,1,0,1,7,18,17,19,16,27,21,10,3,0.35789473684210527
서울,동작구,1217,7,1651,260,1239,2022,126,184,176,183,153,207,188,47,25,26,63,117,106,132,146,154,185,115,101,0.15748031496062992
서울,성동구,948,8,1222,226,941,2022,102,133,126,147,134,172,134,55,21,29,40,94,95,95,103,111,138,89,78,0.18494271685761046
서울,마포구,1671,11,2429,459,1803,2018,221,203,224,228,242,282,271,154,97,83,92,127,123,157,150,141,215,170,162,0.18896665294359818
광주,동구,540,3,778,96,640,2020,51,84,78,81,98,63,85,23,17,15,33,55,69,45,71,64,61,44,43,0.12339331619537275
경남,김해시,1924,23,2660,732,1776,2022,223,263,284,288,287,301,278,59,35,41,116,168,186,202,216,248,301,207,145,0.27518796992481204
경북,봉화군,83,11,130,38,90,2021,6,12,15,13,13,13,11,2,0,0,5,7,15,14,8,16,10,3,3,0.2923076923076923
경남,남해군,194,5,275,106,129,2021,30,30,23,14,35,27,35,1,1,1,10,23,30,25,37,24,21,11,10,0.38545454545454544
충북,청주시,4141,49,6192,1204,4828,2021,490,589,581,631,597,682,571,156,73,75,230,393,379,483,485,517,634,399,317,0.19444444444444445
강원,인제군,88,7,154,51,93,2021,10,11,10,9,18,15,15,4,1,0,2,15,7,17,10,17,11,2,2,0.33116883116883117
경북,성주군,254,9,372,92,275,2020,26,45,49,46,25,31,32,5,1,7,10,32,36,37,27,42,29,16,12,0.24731182795698925
인천,중구,431,15,617,114,493,2021,67,53,58,60,68,59,66,17,6,11,29,48,34,39,70,60,42,46,29,0.1847649918962723
경기,의왕시,488,10,780,165,546,2019,57,69,70,69,92,75,56,19,9,19,32,59,48,64,50,65,61,37,25,0.21153846153846154
강원,인제군,89,5,151,42,90,2022,16,8,11,14,8,14,18,1,0,1,2,12,7,20,17,16,4,6,3,0.2781456953642384
경기,광주시,1867,20,2871,480,2182,2019,201,266,278,292,282,279,269,62,40,41,118,220,199,212,203,222,306,152,92,0.1671891327063741
전남,함평군,193,9,297,65,189,2019,28,30,29,31,21,27,27,6,2,0,8,27,27,31,26,24,26,7,9,0.21885521885521886
전남,함평군,185,6,319,60,211,2020,23,23,34,28,23,26,28,5,0,1,13,26,26,26,28,33,14,10,3,0.18808777429467086
충남,아산시,762,38,1046,327,674,2018,96,109,118,108,112,102,117,33,26,20,54,60,52,63,86,102,97,97,72,0.31261950286806883
부산,연제구,868,3,1183,277,822,2019,87,120,122,133,122,147,137,39,26,25,43,82,91,89,89,103,123,92,66,0.23415046491969568
대구,남구,859,5,1257,263,916,2018,100,129,122,144,133,125,106,46,31,35,35,77,102,94,104,94,89,92,60,0.2092283214001591
대전,서구,2677,23,4096,599,3309,2019,300,405,362,365,384,447,414,167,103,89,119,254,227,256,258,308,409,285,202,0.146240234375
전북,임실군,115,7,181,56,120,2019,6,24,17,24,12,15,17,0,0,1,12,12,18,19,18,14,11,6,4,0.30939226519337015
경기,가평군,380,11,682,128,481,2018,62,49,51,59,39,37,83,7,9,3,11,44,57,60,57,53,36,22,21,0.187683284457478
경기,과천시,208,4,354,40,295,2022,22,33,36,24,33,28,32,3,3,4,20,25,25,22,27,26,28,20,5,0.11299435028248588
부산,금정구,816,11,1105,222,799,2022,96,121,122,111,122,131,113,30,14,12,35,93,92,110,87,134,107,67,35,0.20090497737556562
인천,동구,107,4,136,33,103,2021,9,21,16,6,14,21,20,3,1,1,8,8,11,7,16,20,18,11,3,0.2426470588235294
전북,남원시,311,8,440,170,269,2019,33,54,49,47,41,49,38,6,3,5,14,36,28,41,47,50,48,26,7,0.38636363636363635
부산,강서구,783,15,1188,279,856,2021,68,111,120,103,140,147,94,14,10,20,85,96,71,90,93,110,98,58,38,0.23484848484848486
경북,경주시,1312,30,1914,543,1252,2020,178,213,189,193,202,173,164,43,16,34,75,132,164,167,162,168,164,111,76,0.2836990595611285
서울,서초구,2264,8,3391,441,2775,2022,223,296,323,374,370,366,312,89,68,50,103,232,254,264,253,273,321,201,156,0.13005013270421706
인천,남동구,1834,19,2649,441,2065,2020,185,256,292,312,256,272,261,96,56,46,111,173,157,190,204,218,258,185,140,0.1664779161947905
충남,당진시,783,33,1207,375,806,2019,100,110,111,116,109,132,105,18,9,20,43,73,75,93,91,104,127,79,51,0.3106876553438277
전남,고흥군,329,17,595,219,358,2019,43,62,41,38,52,50,43,3,7,9,23,49,42,41,48,44,37,17,9,0.3680672268907563
부산,동구,574,3,826,196,561,2019,60,92,87,74,82,91,88,22,18,20,32,50,66,71,72,68,70,41,44,0.23728813559322035
인천,옹진군,32,3,55,20,29,2019,7,4,5,3,4,8,1,3,0,0,1,4,3,5,2,7,1,5,1,0.36363636363636365
전남,광양시,739,17,1142,236,862,2019,79,98,99,98,118,130,117,31,12,15,47,78,72,91,78,95,110,53,57,0.20665499124343256
서울,영등포구,2178,15,2967,472,2270,2021,237,295,318,320,306,379,323,74,28,52,101,165,216,294,264,273,301,239,171,0.15908324907313784
전남,나주시,643,23,1139,217,889,2018,73,96,91,106,83,105,89,16,18,6,42,75,79,73,62,67,102,57,46,0.19051799824407376
세종,세종시,813,7,1076,313,733,2020,75,123,124,129,120,132,110,25,15,19,51,98,70,85,81,117,127,76,49,0.2908921933085502
경기,평택시,3190,41,4819,801,3595,2020,351,467,476,485,475,516,420,141,80,97,266,276,262,312,310,388,481,354,223,0.16621705748080515
충북,증평군,167,2,242,74,157,2020,23,27,21,24,17,26,29,3,2,7,14,15,22,24,15,19,26,15,5,0.30578512396694213
제주,서귀포시,1273,26,2052,519,1305,2019,158,165,184,197,188,185,196,42,19,28,69,137,146,157,171,190,165,89,60,0.25292397660818716
경기,시흥시,2480,30,3880,805,2806,2019,266,367,381,357,336,417,356,116,68,77,182,239,221,238,222,314,360,267,176,0.20747422680412372
서울,성동구,1119,9,1481,322,1071,2020,111,173,203,184,156,167,125,71,23,30,71,108,96,105,129,107,161,119,99,0.2174206617150574
서울,은평구,1134,12,1580,367,1064,2018,127,169,189,144,149,182,174,86,53,32,78,108,106,107,121,125,125,103,90,0.23227848101265822
경기,남양주시,1970,24,2927,558,2228,2022,224,287,275,292,291,296,305,64,31,40,90,235,174,228,259,256,297,175,121,0.19063887939870175
