시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Class
경북,봉화군,149,1,257,67,161,2018,17,19,26,22,20,27,18,0,2,2,7,24,22,23,20,20,17,7,5,True
서울,광진구,1108,10,1474,343,1046,2018,143,144,159,158,156,182,166,104,51,34,64,107,89,104,98,107,103,124,123,False
대구,중구,709,8,1056,177,671,2020,88,101,114,98,105,117,86,46,44,32,31,67,69,67,76,87,88,55,47,False
경기,군포시,709,9,1043,176,718,2020,60,103,111,118,104,125,88,28,14,16,52,71,62,75,73,86,95,84,53,False
강원,양구군,81,6,122,25,88,2021,14,11,12,7,10,16,11,2,1,4,3,11,12,10,7,5,15,9,2,False
대구,달서구,3221,15,4714,777,3567,2020,327,488,505,546,456,468,431,136,71,73,167,253,317,317,368,429,537,336,217,False
전북,익산시,826,25,1185,252,917,2022,81,120,148,111,124,131,111,26,12,11,58,92,90,101,93,109,111,71,52,False
경기,가평군,364,5,595,111,451,2020,59,43,52,45,51,53,61,7,4,5,19,35,56,61,58,46,38,25,10,False
울산,북구,632,16,991,261,656,2018,63,105,87,91,90,107,89,47,17,30,47,60,47,45,67,77,79,57,59,True
충남,서천군,274,9,397,95,300,2022,41,42,43,35,44,45,24,1,0,4,14,49,42,35,40,33,26,22,8,False
경남,거제시,1011,17,1500,491,974,2019,111,141,153,160,182,155,109,34,22,18,80,87,95,97,110,145,171,84,68,True
서울,양천구,1344,7,1829,323,1386,2020,116,211,215,226,196,206,174,65,32,31,75,128,120,159,156,169,174,142,93,False
전북,완주군,218,20,311,73,234,2022,23,33,30,26,44,32,30,5,4,5,19,27,26,17,25,30,28,20,12,False
경북,상주시,604,34,854,337,509,2018,75,83,80,88,88,94,96,11,9,9,33,71,78,75,87,96,73,40,22,True
충남,보령시,347,18,494,229,262,2018,44,41,68,42,41,50,61,18,7,11,16,48,32,34,31,44,46,38,22,True
경기,양평군,591,13,955,223,625,2019,106,75,65,71,72,95,107,11,3,12,30,54,89,95,93,88,64,32,20,False
대전,중구,1128,12,1657,307,1283,2018,134,180,155,152,165,183,159,58,40,29,47,97,98,117,125,155,166,114,82,False
충남,논산시,347,18,524,167,342,2022,30,56,55,48,31,68,59,10,5,6,19,26,43,44,29,49,54,35,27,True
전남,담양군,305,16,518,137,370,2018,33,34,53,44,47,51,43,5,3,2,14,30,38,55,54,53,26,18,7,True
서울,서대문구,930,9,1206,236,810,2021,107,133,146,117,138,166,123,28,19,16,47,73,84,109,108,124,145,100,77,False
경남,창원시(통합),2556,52,3511,913,2473,2021,294,391,376,403,353,403,336,79,37,58,153,234,259,274,266,352,381,285,178,True
경기,오산시,1057,7,1582,244,1189,2019,119,132,163,183,170,170,120,50,32,32,65,137,67,89,108,131,159,113,74,False
충북,음성군,528,12,814,213,576,2021,53,81,71,88,74,98,63,8,7,12,39,60,43,47,54,74,84,66,34,True
인천,서구,1314,19,1823,448,1321,2018,135,207,200,197,201,198,176,70,38,55,79,142,107,109,142,154,182,131,105,False
경남,진주시,842,28,1082,496,556,2019,113,120,121,125,117,116,130,41,22,22,41,76,87,73,69,106,133,103,69,True
부산,연제구,744,8,977,243,642,2020,77,119,114,125,99,115,95,32,19,19,28,78,88,96,81,87,95,73,48,True
충남,홍성군,322,29,467,144,320,2018,31,45,48,55,48,52,43,11,6,10,18,34,33,26,30,48,54,30,22,True
경남,진주시,568,25,684,264,401,2022,46,91,81,89,82,98,81,15,12,12,28,58,56,60,62,79,92,56,38,True
전남,영광군,225,11,347,91,227,2019,17,33,29,34,31,37,44,3,2,4,17,23,35,25,31,28,32,17,8,True
인천,연수구,687,17,978,255,691,2018,68,82,102,95,111,117,112,45,27,26,33,64,63,52,65,84,93,71,64,True
서울,영등포구,2178,15,2967,472,2270,2021,237,295,318,320,306,379,323,74,28,52,101,165,216,294,264,273,301,239,171,False
전남,순천시,1340,27,2021,370,1602,2020,137,189,198,193,218,187,218,41,28,28,66,154,143,132,140,176,221,133,78,False
경북,구미시,1652,29,2338,516,1686,2022,183,209,281,241,251,272,215,71,30,26,109,180,154,163,167,208,251,182,111,False
부산,북구,447,4,605,131,442,2022,50,67,65,56,65,68,76,13,8,11,23,41,41,46,55,61,73,46,29,False
인천,연수구,655,8,932,228,687,2020,77,95,99,102,92,96,94,41,22,13,32,53,53,60,74,76,103,85,43,False
경북,청도군,221,15,361,110,242,2018,39,41,24,36,22,27,32,2,0,8,15,26,34,18,37,29,27,17,8,True
강원,인제군,94,8,148,73,70,2019,18,10,11,12,11,14,18,0,1,5,4,13,11,16,17,10,7,5,5,True
대전,동구,1102,16,1633,286,1309,2020,132,172,147,138,167,183,163,50,25,20,43,107,115,131,127,144,169,109,62,False
부산,동구,574,3,826,196,561,2019,60,92,87,74,82,91,88,22,18,20,32,50,66,71,72,68,70,41,44,False
울산,중구,769,10,1080,251,704,2018,94,122,121,96,105,111,120,32,18,26,55,56,61,82,86,95,117,74,67,False
강원,철원군,144,12,220,57,161,2019,19,27,20,22,15,17,24,3,0,1,10,25,18,19,21,20,14,8,5,True
경북,청송군,89,7,126,63,62,2019,10,14,19,9,7,17,13,2,1,0,3,10,14,13,16,12,10,5,3,True
부산,연제구,666,2,904,219,621,2021,53,107,110,103,102,108,83,14,11,10,23,63,71,87,75,92,94,70,56,False
전남,해남군,281,16,419,122,286,2020,32,41,42,43,38,51,34,2,4,10,20,46,40,34,38,34,27,18,8,True
충남,홍성군,242,20,318,109,205,2022,29,30,42,39,36,36,30,2,5,12,19,25,21,22,29,28,34,27,18,True
서울,노원구,1703,8,2302,484,1652,2019,206,243,266,219,226,306,237,74,47,50,97,177,160,167,200,221,222,170,118,False
경남,함양군,174,9,253,99,119,2021,16,28,35,24,25,29,17,2,2,1,11,25,28,22,26,25,20,7,5,True
충남,부여군,222,20,283,129,151,2018,22,34,33,36,20,37,40,5,2,3,12,31,26,31,27,26,39,14,6,True
